Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
145,Finance,52,26737,14,30,92,Yes
146,HR,47,99632,13,57,100,Yes
147,Sales,26,110474,8,35,84,Yes
148,Marketing,41,103218,12,44,100,Yes
149,Sales,32,52499,9,33,78,No
150,Operations,54,71157,6,50,82,No
151,Marketing,59,81247,10,40,87,Yes
152,Marketing,48,66034,2,34,45,No
153,Finance,55,25294,2,47,61,No
154,Marketing,36,49596,7,53,80,No
155,Sales,53,36434,8,44,67,No
156,Marketing,42,83382,8,47,66,No
157,Finance,26,63098,14,49,100,Yes
158,Finance,27,29655,6,57,71,No
159,Operations,59,108029,10,42,96,Yes
160,Sales,43,71228,8,34,62,No
161,IT,39,28771,14,59,100,Yes
162,IT,35,99099,1,30,27,No
163,Marketing,31,81799,9,51,97,Yes
164,Operations,34,87257,13,47,99,Yes
165,HR,52,42558,12,43,96,Yes
166,Marketing,51,83436,1,34,38,No
167,Operations,24,117103,13,60,100,Yes
168,Sales,51,57376,3,35,64,No
169,Sales,27,112458,12,56,98,Yes
170,Sales,50,102924,9,53,95,Yes
171,Sales,29,54332,11,54,100,Yes
172,Sales,54,71737,5,58,69,No
173,Operations,38,114031,9,60,100,Yes
174,Operations,32,98970,9,57,100,Yes
175,Finance,34,76952,6,45,66,No
176,IT,32,45991,11,51,100,Yes
177,Sales,52,52472,1,50,60,No
178,HR,49,84946,10,41,86,Yes
179,Operations,27,51849,7,49,91,Yes
180,HR,37,26541,14,47,100,Yes
181,HR,25,27765,6,31,55,No
182,HR,56,68074,9,52,100,Yes
183,Finance,47,54283,7,50,77,No
184,Operations,33,25769,14,52,100,Yes
185,HR,32,42806,12,42,94,Yes
186,Sales,58,115518,11,56,100,Yes
187,Marketing,46,27972,12,46,100,Yes
188,HR,39,43256,13,46,100,Yes
189,Finance,40,43653,4,45,40,No
190,Operations,44,111669,7,50,89,Yes
191,Finance,59,64339,2,47,55,No
192,HR,39,50757,6,37,69,No
193,Operations,47,67399,6,59,94,No
194,Marketing,27,69013,2,60,73,No
195,HR,25,39706,14,32,81,Yes
196,Finance,50,63231,4,46,55,No
197,IT,55,52909,8,58,100,Yes
198,Sales,38,101631,8,47,88,Yes
199,Finance,37,82572,13,55,100,Yes
200,Operations,23,110879,8,55,100,Yes
201,HR,55,88767,8,52,89,Yes
202,Sales,29,51469,1,35,48,No
203,HR,34,26313,2,57,79,No
204,Operations,29,32847,12,37,99,Yes
205,HR,51,75222,4,52,77,No
206,IT,53,99702,12,59,100,Yes
207,Sales,57,34930,9,55,100,Yes
208,Sales,51,28285,3,42,59,No
209,Operations,22,60863,14,37,100,Yes
210,IT,38,41704,6,48,65,No
211,Finance,41,43705,7,35,65,No
212,HR,45,25555,8,58,86,Yes
213,Marketing,43,46323,13,52,100,Yes
214,HR,50,95968,7,44,91,Yes
215,HR,43,91922,3,39,63,No
216,Finance,30,78915,6,56,100,No
217,HR,58,35619,5,46,66,No
218,IT,31,97390,13,30,100,Yes
219,IT,57,84274,12,36,84,Yes
220,Sales,58,98173,10,58,100,Yes
221,Operations,49,46225,4,56,61,No
222,Marketing,49,51739,1,42,52,No
223,HR,42,72708,14,32,98,Yes
224,HR,45,78019,13,48,92,Yes
225,Finance,23,101154,7,44,72,No
226,Operations,29,32373,8,34,91,Yes
227,IT,48,60281,2,60,74,No
228,Marketing,43,45187,7,40,82,Yes
229,Sales,58,92863,6,51,82,No
230,IT,48,109085,5,47,70,No
231,Operations,50,64220,13,32,97,Yes
232,Sales,24,32642,4,35,57,No
233,Finance,34,104971,2,32,31,No
234,Finance,31,80556,10,59,100,Yes
235,HR,57,58760,6,34,75,No
236,Operations,30,63192,5,38,61,No
237,Marketing,48,29381,2,57,61,No
238,Sales,55,44558,10,48,90,Yes
239,IT,22,55782,7,57,100,Yes
240,Operations,53,29782,6,56,81,No
241,Operations,46,116417,12,42,100,Yes
242,Finance,50,79712,11,58,100,Yes
243,HR,28,119945,9,35,77,No
244,HR,24,44462,11,40,87,Yes
245,Sales,41,85030,10,50,90,Yes
246,Finance,41,93519,5,50,82,No
247,Operations,51,81411,9,56,91,Yes
248,Marketing,56,80206,9,59,100,Yes
249,Finance,56,71950,13,43,100,Yes
250,Sales,48,27523,1,35,47,No
251,Sales,47,85926,5,35,53,No
252,Finance,35,34677,9,46,100,Yes
253,Sales,38,100828,7,40,73,No
254,Finance,39,40089,6,44,99,No
255,IT,50,29581,6,38,51,No
256,Finance,41,36907,11,50,100,Yes
257,Finance,48,30609,7,46,79,No
258,Sales,39,76153,1,53,60,No
259,Sales,25,75539,4,36,49,No
260,HR,22,69143,13,36,85,Yes
261,HR,22,47936,1,60,59,No
262,IT,47,75182,6,59,85,No
263,HR,41,38163,14,50,100,Yes
264,Finance,44,84758,13,30,100,Yes
265,Sales,31,71057,4,54,75,No
266,HR,32,37537,1,56,63,No
267,HR,26,47419,9,54,100,Yes
268,IT,22,67578,12,37,79,No
269,Operations,38,99991,4,34,37,No
270,IT,43,99599,12,59,100,Yes
271,Finance,55,25834,6,48,74,No
272,Sales,50,57214,13,37,83,Yes
273,IT,25,117934,7,46,74,No
274,HR,26,27413,8,48,74,No
275,Sales,32,34505,12,41,100,Yes
276,Sales,42,27105,13,56,100,Yes
277,HR,56,93104,11,52,100,Yes
278,IT,33,83408,9,59,85,Yes
279,HR,47,62679,9,44,86,Yes
280,Operations,40,104731,8,33,76,No
281,Sales,28,90131,10,52,100,Yes
282,Marketing,28,89280,11,41,100,Yes
283,Marketing,47,40762,12,56,100,Yes
284,Finance,26,83703,12,42,100,Yes
285,HR,42,106434,14,43,100,Yes
286,HR,35,88079,3,34,41,No
287,Finance,25,46577,12,51,100,Yes
288,Finance,44,26214,2,45,56,No
289,Finance,41,111339,5,59,90,No
290,Sales,36,73114,1,36,35,No
291,Operations,50,114234,3,44,46,No
292,HR,29,88230,1,42,42,No
293,Sales,40,57980,13,55,100,Yes
294,Finance,49,92194,3,45,61,No
295,HR,48,102806,13,41,98,Yes
296,Sales,25,62792,4,36,56,No
297,Operations,36,70807,7,45,91,Yes
298,Sales,56,47301,12,52,95,Yes
299,Operations,58,30141,12,52,90,Yes
300,Finance,22,38777,5,56,93,No
301,Operations,24,63346,5,42,52,No
302,HR,45,79703,13,58,100,Yes
303,Finance,48,119977,1,52,63,No
304,HR,57,72819,8,32,71,No
305,Marketing,55,53469,13,44,100,Yes
306,IT,50,28845,4,57,77,No
307,Operations,45,48290,10,32,100,Yes
308,IT,45,55699,5,36,78,No
309,IT,25,69252,2,59,62,No
310,Operations,24,28293,12,47,100,Yes
311,Finance,55,82089,13,43,100,Yes
312,Marketing,44,41608,1,47,51,No
313,HR,44,91273,9,48,83,Yes
314,Sales,26,41619,2,43,57,No
315,HR,52,103006,6,49,75,No
316,Sales,27,112908,1,35,36,No
317,HR,58,106653,1,58,55,No
318,Operations,31,39779,9,37,91,Yes
319,Marketing,28,76040,4,55,67,No
320,Sales,59,119830,9,55,92,Yes
321,Finance,42,81325,11,36,98,Yes
322,HR,41,46630,5,49,72,No
323,HR,24,37178,7,47,80,No
324,Sales,43,44935,1,47,62,No
325,Finance,25,72258,6,44,87,No
326,Finance,49,47784,8,49,67,No
327,Operations,33,88722,14,51,100,Yes
328,Operations,59,48027,1,48,38,No
329,Operations,57,82853,9,51,92,Yes
330,Operations,26,92359,3,50,64,No
331,Operations,34,97388,1,50,51,No
332,Operations,44,103608,1,31,25,No
333,Marketing,51,101669,13,37,91,Yes
334,Finance,58,40111,14,50,100,Yes
335,Operations,46,57312,11,40,100,Yes
336,Finance,48,49161,6,47,56,No
337,Finance,35,92313,11,52,100,Yes
338,IT,57,75374,6,42,79,No
339,Marketing,37,49014,1,60,64,No
340,Operations,43,105308,14,38,96,Yes
341,HR,42,71389,14,38,100,Yes
342,Sales,42,43161,3,46,64,No
343,HR,29,32490,7,36,67,No
344,Marketing,37,49502,10,38,87,Yes
345,Sales,52,60757,3,51,65,No
346,Marketing,31,66111,3,30,39,No
347,Finance,53,108245,3,31,54,No
348,Sales,55,83645,12,33,88,Yes
349,Finance,30,84055,7,43,67,No
350,HR,38,33998,4,33,75,No
351,HR,32,53906,4,31,50,No
352,Sales,53,95192,3,37,25,No
353,Sales,31,75477,10,47,100,Yes
354,Operations,43,61901,11,48,100,Yes
355,Marketing,38,116271,9,43,92,Yes
356,Operations,25,77021,2,49,65,No
357,Marketing,46,54092,4,54,95,No
358,Operations,42,26242,8,39,69,No
359,Finance,58,26831,6,46,77,No
360,Sales,59,75721,14,37,100,Yes
361,HR,22,53511,7,57,100,Yes
362,Marketing,46,97782,13,60,100,Yes
363,Marketing,57,43302,7,43,98,Yes
364,HR,38,80568,2,50,68,No
365,Operations,45,28232,4,52,86,No
366,Marketing,23,76507,10,37,94,Yes
367,Finance,36,101508,10,60,100,Yes
368,Sales,53,35683,6,34,86,No
369,HR,27,48664,3,45,54,No
370,Sales,22,58172,9,37,100,Yes
371,Marketing,44,108641,13,39,100,Yes
372,Marketing,38,89340,4,56,89,No
373,HR,55,112236,10,37,86,Yes
374,Finance,50,36017,13,38,100,Yes
375,IT,30,61613,2,47,44,No
376,HR,34,111130,6,32,57,No
377,IT,27,101920,1,46,57,No
378,Operations,27,55348,6,49,64,No
379,IT,41,41448,13,44,100,Yes
380,Finance,24,34491,12,60,100,Yes
381,Operations,38,103648,10,50,98,Yes
382,IT,33,83759,1,56,71,No
383,Operations,22,69553,14,46,100,Yes
384,IT,38,25968,8,37,73,No
385,Finance,24,25368,5,31,54,No
386,IT,47,98960,6,46,77,No
387,IT,36,60010,2,47,36,No
388,IT,57,79154,2,60,79,No
389,HR,53,60851,12,58,100,Yes
390,HR,53,50496,9,34,88,Yes
391,HR,25,55936,3,38,56,No
392,Finance,39,103858,6,38,66,No
393,Operations,40,92005,10,31,82,Yes
394,Marketing,56,62493,5,31,58,No
395,IT,35,94795,14,48,100,Yes
396,IT,54,61390,12,52,100,Yes
397,Finance,35,35292,4,56,78,No
398,IT,55,117377,10,32,69,No
399,HR,25,53365,2,46,55,No
400,Marketing,45,42207,8,43,97,Yes
401,Sales,50,47912,10,43,97,Yes
402,IT,40,105771,7,43,67,No
403,HR,27,81572,11,35,80,No
404,Sales,54,44276,2,32,34,No
405,Marketing,40,30534,6,30,69,No
406,Sales,22,117005,14,59,100,Yes
407,HR,26,60670,8,45,50,No
408,Operations,48,87147,7,58,92,Yes
409,Operations,37,61486,1,33,39,No
410,Sales,27,90557,5,58,73,No
411,Finance,34,59268,2,30,36,No
412,Sales,56,106335,6,46,89,No
413,IT,40,51336,7,57,96,Yes
414,IT,33,28641,14,47,100,Yes
415,Operations,37,112132,14,55,100,Yes
416,Finance,31,57959,7,37,69,No
417,HR,46,38306,3,31,48,No
418,IT,41,71182,7,56,76,No
419,Operations,52,99123,5,47,65,No
420,Marketing,25,81326,8,60,100,Yes
421,Operations,44,46498,12,56,100,Yes
422,IT,23,95198,8,56,87,Yes
423,IT,43,52197,7,45,71,No
424,Operations,58,45719,6,55,92,No
425,HR,29,115201,2,39,43,No
426,Sales,28,50032,6,37,72,No
427,IT,35,84624,13,41,99,Yes
428,Operations,24,103177,12,51,99,Yes
429,Operations,37,66964,11,45,100,Yes
430,Finance,40,55028,9,41,85,Yes
431,Sales,39,79646,2,40,56,No
432,Marketing,37,106187,1,49,62,No
433,HR,29,33536,11,48,99,Yes
434,Marketing,54,81747,13,30,98,Yes
435,Sales,33,70712,5,56,77,No
436,Sales,32,31273,11,32,93,Yes
437,Sales,26,96820,6,41,73,No
438,Marketing,48,116228,3,59,67,No
439,Sales,33,99353,8,38,70,No
440,Operations,38,119491,7,50,87,Yes
441,Marketing,27,117091,2,58,79,No
442,Sales,54,110914,12,51,100,Yes
443,Operations,26,75830,7,34,59,No
444,Finance,49,42127,1,30,26,No
445,Sales,35,108488,9,39,77,No
446,Marketing,26,36539,13,46,100,Yes
447,IT,54,71761,7,33,49,No
448,Sales,40,71219,6,44,81,No
449,IT,43,39692,13,48,100,Yes
450,Operations,26,108656,2,56,70,No
451,Finance,23,38334,3,37,48,No
452,HR,51,53615,1,57,61,No
453,Finance,25,32903,10,57,100,Yes
454,Sales,54,53527,13,52,100,Yes
455,IT,34,40629,5,44,60,No
456,IT,41,83008,9,56,100,Yes
457,Marketing,28,108276,13,60,100,Yes
458,IT,36,51708,6,36,71,No
459,Marketing,44,35860,5,44,71,No
460,Operations,35,42438,12,37,83,Yes
461,HR,44,92300,3,59,79,No
462,Sales,40,96545,5,55,86,No
463,Marketing,50,45842,8,52,94,Yes
464,HR,41,85213,12,39,100,Yes
465,IT,50,67372,2,47,55,No
466,IT,45,93906,5,33,64,No
467,HR,39,63744,6,44,87,No
468,IT,31,82442,10,40,93,Yes
469,Operations,29,110990,8,51,81,Yes
470,Operations,47,28650,8,32,63,No
471,HR,50,70117,5,44,76,No
472,Marketing,31,116244,9,32,67,No
473,Marketing,38,77772,4,44,66,No
474,HR,23,28190,12,35,91,Yes
475,Marketing,27,73113,9,30,64,No
476,Marketing,26,33789,11,43,100,Yes
477,Operations,49,57125,7,45,87,Yes
478,Marketing,26,42459,6,30,46,No
479,Finance,39,60418,4,50,74,No
480,Sales,47,72085,2,46,59,No
481,IT,41,43768,8,55,100,Yes
482,Finance,48,74961,6,37,68,No
483,Marketing,33,106099,12,47,100,Yes
484,Operations,28,52885,3,45,58,No
485,HR,24,112421,7,35,67,No
486,Marketing,31,86082,10,39,79,No
487,Operations,55,31895,7,39,64,No
488,Sales,46,75311,6,34,53,No
489,Marketing,56,114494,2,55,67,No
490,HR,37,92067,8,57,94,Yes
491,Operations,23,96017,1,41,49,No
492,Operations,45,48932,13,49,100,Yes
493,Operations,31,46360,1,46,42,No
494,Sales,59,79847,6,43,64,No
495,Marketing,43,115365,5,43,89,No
496,Sales,47,110468,9,32,75,No
497,IT,48,63931,13,58,100,Yes
498,IT,50,80823,12,41,100,Yes
499,Marketing,59,63032,7,49,99,Yes
500,Sales,41,106426,2,47,40,No
501,HR,48,43807,13,41,100,Yes
502,Operations,41,36767,12,31,74,No
503,Operations,40,33071,7,31,42,No
504,Marketing,41,78413,3,56,63,No
505,IT,56,51149,1,46,55,No
506,IT,23,40540,11,39,86,Yes
507,Operations,51,95248,8,47,90,Yes
508,Marketing,55,116737,14,51,100,Yes
509,Sales,43,110435,12,48,100,Yes
510,IT,24,44787,3,55,82,No
511,Sales,27,45982,11,50,99,Yes
512,IT,36,47606,8,30,73,No
513,IT,48,35150,7,53,69,No
514,Finance,31,110929,12,58,100,Yes
515,IT,30,71936,2,33,40,No
516,HR,54,118286,13,54,100,Yes
517,Marketing,53,33593,14,33,100,Yes
518,Marketing,27,42358,14,59,100,Yes
519,Sales,57,107143,1,60,82,No
520,IT,23,62381,7,60,70,No
521,HR,50,115347,13,60,100,Yes
522,Sales,25,53074,1,31,36,No
523,Finance,22,45595,6,48,75,No
524,Sales,40,69194,13,50,100,Yes
525,Sales,47,74377,11,41,96,Yes
526,IT,46,51853,10,39,99,Yes
527,Finance,31,98719,11,60,98,Yes
528,Sales,36,45661,10,42,83,Yes
529,HR,43,75493,8,58,87,Yes
530,HR,42,61495,7,59,83,Yes
531,Marketing,43,38703,4,51,74,No
532,Finance,57,78080,1,52,62,No
533,Finance,55,55815,1,49,64,No
534,Marketing,51,54565,4,52,78,No
535,Sales,46,88321,5,44,75,No
536,Finance,49,83453,12,55,100,Yes
537,HR,22,113478,7,32,81,Yes
538,HR,25,58161,14,52,100,Yes
539,IT,28,80991,4,49,79,No
540,Finance,30,34716,10,58,94,Yes
541,Sales,57,58349,14,42,100,Yes
542,Marketing,40,72098,12,37,100,Yes
543,Marketing,22,25132,1,54,59,No
544,Sales,31,76990,11,36,83,Yes
545,Operations,57,93921,10,53,100,Yes
546,IT,30,61538,7,37,60,No
547,Marketing,53,32213,2,47,56,No
548,Finance,53,69223,13,38,100,Yes
549,IT,27,116655,11,35,100,Yes
550,Finance,59,93371,2,56,61,No
551,HR,38,93274,8,33,70,No
552,IT,31,29134,12,44,99,Yes
553,Marketing,48,116428,10,34,86,Yes
554,IT,56,64601,10,55,100,Yes
555,IT,42,98889,10,34,94,Yes
556,IT,46,40690,5,36,68,No
557,Operations,49,26909,10,59,100,Yes
558,IT,36,116239,2,38,56,No
559,Finance,25,105032,5,36,61,No
560,HR,50,37062,8,38,85,Yes
561,Sales,30,100386,6,49,87,No
562,IT,48,118237,3,39,70,No
563,Marketing,47,59731,8,59,95,Yes
564,IT,40,30153,14,55,100,Yes
565,Marketing,49,35481,9,33,82,Yes
566,Finance,38,91425,5,35,71,No
567,Marketing,41,88600,13,53,100,Yes
568,Sales,44,109981,2,43,65,No
569,HR,53,96997,2,38,54,No
570,Marketing,54,53205,7,30,62,No
571,Marketing,26,113887,1,46,56,No
572,HR,55,106542,10,42,87,Yes
573,Sales,32,69149,12,53,100,Yes
574,IT,24,74112,2,56,55,No
575,Marketing,54,35940,10,36,85,Yes
576,HR,32,84010,4,38,67,No
577,Finance,37,101794,1,40,52,No
578,HR,39,49485,4,32,58,No
579,Finance,51,114299,13,55,100,Yes
580,Sales,31,26067,12,41,100,Yes
581,IT,39,45607,11,50,92,Yes
582,HR,59,86597,13,32,94,Yes
583,Operations,40,99554,10,44,95,Yes
584,Marketing,57,73521,5,50,63,No
585,Sales,34,40187,9,39,66,No
586,HR,24,28985,1,30,46,No
587,Marketing,31,68052,12,43,100,Yes
588,HR,59,44563,5,56,83,No
589,Finance,22,72322,2,49,64,No
590,HR,48,86245,9,35,70,No
591,Operations,29,76514,6,31,56,No
592,HR,38,43608,2,58,83,No
593,HR,30,92262,14,52,100,Yes
594,Operations,27,117118,3,37,49,No
595,Sales,46,96327,14,30,93,Yes
596,HR,49,82225,8,58,90,Yes
597,Operations,54,98994,1,33,49,No
598,Marketing,58,42221,12,56,91,Yes
599,Finance,30,73506,3,33,43,No
600,Finance,39,45968,13,58,100,Yes
601,HR,42,107606,10,34,100,Yes
602,Sales,23,52937,1,59,52,No
603,Sales,59,87435,11,57,98,Yes
604,Marketing,57,74508,11,57,100,Yes
605,HR,58,66831,8,49,96,Yes
606,Finance,36,67933,1,38,44,No
607,Sales,49,72307,13,52,100,Yes
608,HR,39,73340,5,42,67,No
609,Sales,55,111338,4,47,82,No
610,Operations,43,68601,7,46,83,Yes
611,Sales,32,100956,14,54,100,Yes
612,Finance,34,97178,5,30,57,No
613,IT,25,110311,8,51,95,Yes
614,Marketing,43,53754,12,44,91,Yes
615,Marketing,28,68310,14,60,100,Yes
616,Finance,45,94893,11,31,84,Yes
617,Sales,25,111799,1,45,45,No
618,HR,49,73367,5,49,80,No
619,Sales,36,38201,4,51,64,No
620,Finance,22,27739,3,34,45,No
621,Marketing,24,38231,5,56,68,No
622,Sales,35,67495,10,51,100,Yes
623,Marketing,59,46168,3,48,72,No
624,HR,22,57624,8,34,70,No
625,Marketing,59,35635,13,31,100,Yes
626,Marketing,59,34964,3,36,49,No
627,IT,42,52785,1,32,11,No
628,IT,50,107797,9,46,90,Yes
629,Operations,26,109790,9,59,100,Yes
630,IT,31,101928,6,53,84,No
631,Marketing,49,37336,10,53,100,Yes
632,Finance,42,102475,1,32,30,No
633,Marketing,28,52412,8,42,96,Yes
634,Finance,24,107212,2,36,45,No
635,Finance,41,100379,9,54,97,Yes
636,IT,40,70591,14,53,100,Yes
637,Sales,56,86750,8,32,72,No
638,HR,25,115648,3,44,84,No
639,IT,26,60454,13,58,100,Yes
640,IT,22,87672,5,47,75,No
641,Sales,25,52228,9,58,95,Yes
642,HR,33,39429,13,39,100,Yes
643,Marketing,48,109294,1,52,60,No
644,Operations,44,92808,9,36,77,No
645,Operations,46,107886,4,38,49,No
646,Marketing,42,78015,4,34,40,No
647,IT,45,113074,4,49,73,No
648,HR,46,93936,10,37,73,No
649,IT,53,105907,12,43,100,Yes
650,Finance,53,82378,9,33,65,No
651,IT,26,62310,14,49,100,Yes
652,IT,57,108683,6,57,78,No
653,Marketing,37,93827,11,43,98,Yes
654,Marketing,54,60256,8,41,81,Yes
655,Marketing,42,101428,12,31,95,Yes
656,Operations,30,63889,14,42,96,Yes
657,Finance,27,76428,4,60,72,No
658,Marketing,56,62207,3,30,54,No
659,HR,43,75255,14,49,100,Yes
660,Operations,26,116531,1,36,16,No
661,Sales,44,30409,10,57,100,Yes
662,HR,38,67438,7,54,78,No
663,HR,33,32869,4,38,52,No
664,Marketing,44,81862,14,57,100,Yes
665,Sales,37,112937,8,55,100,Yes
666,Sales,24,50958,14,60,100,Yes
667,Operations,51,101302,3,46,46,No
668,Sales,43,44768,1,50,59,No
669,Finance,30,51145,5,52,76,No
670,Marketing,50,100622,14,42,100,Yes
671,Sales,58,51442,2,52,58,No
672,Operations,44,106948,3,39,66,No
673,Finance,34,50596,14,45,100,Yes
674,IT,53,100791,6,35,70,No
675,IT,44,67406,3,45,76,No
676,Finance,38,65524,3,40,53,No
677,Operations,42,48332,12,55,100,Yes
678,Finance,23,40764,6,49,72,No
679,Marketing,58,52563,5,32,59,No
680,Marketing,27,112675,10,57,92,Yes
681,IT,39,61370,9,58,97,Yes
682,Sales,51,30062,1,38,32,No
683,Operations,43,69645,13,44,100,Yes
684,IT,54,32244,3,57,89,No
685,Sales,51,31372,3,42,53,No
686,Sales,38,110501,11,39,86,Yes
687,Marketing,53,89471,6,49,65,No
688,HR,35,41956,8,53,95,Yes
689,HR,31,65473,3,42,50,No
690,Finance,57,38894,3,46,55,No
691,Marketing,55,94586,6,36,82,No
692,Sales,30,41709,8,57,94,Yes
693,Operations,49,106258,6,35,70,No
694,HR,32,40210,13,42,100,Yes
695,Sales,35,74510,12,57,100,Yes
696,HR,40,63674,14,46,97,Yes
697,HR,36,42733,10,44,98,Yes
698,HR,49,45080,3,33,65,No
699,Operations,45,78412,4,57,80,No
700,Marketing,29,83971,1,44,55,No
701,Operations,30,64709,13,43,98,Yes
702,IT,54,84846,8,50,100,Yes
