customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
C0025,,Female,East,Graduate,Salaried,2048228.83,940569.27,Home,640.0,6,196,61.43,2019-10-22,0
C0026,32.0,Male,West,Primary,Unemployed,814838.15,1701149.09,Business,673.0,2,99,50.92,2019-02-20,1
C0027,56.0,Other,North,Post-Graduate,Salaried,754670.65,1267074.53,Other,343.0,0,187,81.37,2019-08-11,1
C0028,37.0,Female,West,Post-Graduate,Unemployed,2315171.94,1344035.84,Education,711.0,6,226,90.96,2023-01-03,0
C0029,27.0,Female,East,Primary,Self-Employed,2413309.67,1198699.26,Home,653.0,10,255,40.82,2024-07-21,0
C0030,41.0,,South,Graduate,Salaried,958734.18,524528.69,Car,548.0,6,117,12.45,2020-11-12,1
C0031,23.0,Other,East,Graduate,Unemployed,394092.95,1469384.99,Home,502.0,10,21,84.07,2024-07-20,1
C0032,53.0,Male,East,Graduate,Salaried,1972921.1,626292.48,Business,338.0,6,30,26.53,2020-12-31,1
C0033,22.0,Male,South,Post-Graduate,Self-Employed,1669389.14,1697600.1,Business,702.0,0,207,83.9,2020-11-18,1
C0034,42.0,Male,West,Graduate,Salaried,2184856.97,545485.17,Home,833.0,11,156,50.17,2018-09-23,0
C0035,52.0,Male,East,Primary,,2015447.7,813209.41,Car,684.0,11,139,51.02,2024-10-14,0
C0036,31.0,Other,North,Secondary,Unemployed,2379199.5,142063.15,Home,504.0,0,164,10.64,2024-03-04,1
C0037,40.0,Male,East,Post-Graduate,Salaried,2990365.37,1363833.82,Education,465.0,0,272,71.23,2022-05-31,1
C0038,52.0,Other,South,Graduate,Self-Employed,2185824.88,1960335.74,Education,552.0,11,39,40.38,2019-08-26,0
C0039,34.0,Female,West,Secondary,Unemployed,1257251.43,1283393.11,Home,806.0,0,214,86.21,2024-05-11,1
C0040,28.0,Other,East,Secondary,Salaried,,673034.6,Business,442.0,6,240,71.26,2024-05-08,1
C0041,39.0,Other,West,Primary,Self-Employed,2356331.03,798207.88,Car,402.0,5,5,76.21,2018-12-07,1
C0042,57.0,Female,West,Secondary,Self-Employed,2473414.69,1341021.05,Home,601.0,8,217,69.05,2022-09-08,0
C0043,58.0,Other,West,Primary,Self-Employed,2700159.52,122751.67,Business,831.0,11,260,69.22,2021-02-14,0
C0044,21.0,Other,West,Graduate,Unemployed,2442180.54,1984745.12,Other,822.0,1,244,71.45,2023-04-28,1
C0045,52.0,Male,West,Graduate,Salaried,2372197.03,211081.82,Home,,7,283,15.19,2022-02-01,0
C0046,51.0,Other,North,Secondary,Self-Employed,583392.64,235439.67,Car,530.0,5,275,94.31,2024-05-04,1
C0047,61.0,Male,North,Graduate,Unemployed,839862.79,793355.9,Other,830.0,5,159,85.79,2021-06-22,1
C0048,22.0,Female,North,Post-Graduate,Self-Employed,2416328.42,923564.98,Education,675.0,9,197,59.66,2018-10-13,0
C0049,21.0,Other,West,Post-Graduate,Unemployed,1083190.14,162102.66,Other,336.0,0,245,61.21,2020-06-07,1
C0050,,Male,West,Post-Graduate,Self-Employed,1803032.23,565219.03,Car,440.0,9,50,20.26,2018-12-21,1
C0051,49.0,Other,East,Graduate,Self-Employed,2186511.16,291710.53,Other,507.0,0,194,46.15,2022-08-19,1
C0052,28.0,Other,South,Secondary,Self-Employed,1625934.53,355656.5,Car,474.0,5,88,92.13,2023-12-01,1
C0053,22.0,Male,East,Graduate,Self-Employed,1710829.74,1022666.44,Car,402.0,3,65,72.18,2022-03-19,1
C0054,60.0,Other,West,Primary,Salaried,1218493.05,529284.94,Education,715.0,2,76,28.83,2019-08-16,1
C0055,60.0,Other,North,Primary,Self-Employed,1625342.46,1658098.96,Car,391.0,2,288,21.53,2020-07-25,1
C0056,32.0,Male,West,Secondary,Self-Employed,2186297.93,1967225.83,Other,322.0,10,34,89.04,2018-05-05,1
C0057,40.0,Male,West,Post-Graduate,Self-Employed,2688341.12,299581.78,Home,415.0,7,216,14.07,2018-09-05,1
C0058,64.0,Male,West,Graduate,Self-Employed,319075.97,261770.02,Car,710.0,5,285,37.1,2018-07-06,1
C0059,50.0,Female,East,Secondary,Self-Employed,2950709.14,924390.71,Home,591.0,1,94,90.23,2024-05-28,1
C0060,60.0,,North,Graduate,Self-Employed,1791018.32,798632.02,Business,720.0,5,128,81.4,2022-02-15,1
C0061,49.0,Male,North,Secondary,Self-Employed,2116450.49,532038.99,Education,662.0,9,246,30.19,2024-05-05,0
C0062,26.0,Other,North,Post-Graduate,Salaried,2319276.35,1273382.5,Education,762.0,3,135,33.73,2022-06-10,1
C0063,33.0,Male,North,Post-Graduate,Unemployed,402333.78,1684471.42,Other,371.0,8,190,51.76,2023-07-23,1
C0064,46.0,Male,North,Graduate,Self-Employed,873610.17,197149.69,Home,305.0,12,290,17.98,2021-09-27,1
C0065,52.0,Male,West,Graduate,Unemployed,2973757.6,389049.49,Other,506.0,12,297,65.02,2018-11-21,1
C0066,29.0,Other,South,Post-Graduate,Unemployed,1429603.46,551135.02,Business,401.0,12,10,46.68,2021-10-19,1
C0067,49.0,Other,West,Post-Graduate,Self-Employed,2465061.16,1641801.36,Education,467.0,2,149,65.22,2024-09-30,1
C0068,24.0,Male,East,Secondary,Salaried,1457311.12,1090591.28,Education,533.0,10,251,41.72,2021-05-13,1
C0069,46.0,Female,West,Graduate,Salaried,2577521.2,1532227.22,Education,347.0,7,68,15.26,2024-04-30,1
C0070,52.0,Female,North,Post-Graduate,,709716.34,1907924.02,Education,784.0,12,73,10.95,2022-06-09,0
C0071,33.0,Other,North,Primary,Unemployed,1578446.14,1244541.37,Business,839.0,0,102,32.82,2021-08-12,1
C0072,43.0,Female,West,Post-Graduate,Unemployed,2542335.5,466105.66,Car,328.0,8,271,78.48,2019-01-25,1
C0073,32.0,Female,East,Post-Graduate,Salaried,1560333.11,534779.62,Car,472.0,7,253,87.68,2018-04-23,1
C0074,21.0,Male,East,Post-Graduate,Unemployed,2835946.27,70536.49,Other,521.0,5,245,75.03,2022-11-21,1
C0075,,Other,North,Secondary,Self-Employed,2810618.64,642734.5,Car,538.0,0,12,72.4,2021-06-06,1
C0076,27.0,Female,West,Graduate,Self-Employed,338232.91,344510.63,Business,730.0,11,250,89.11,2019-07-22,0
C0077,23.0,Male,South,Secondary,Salaried,2349517.57,1722934.54,Home,825.0,9,198,85.41,2022-07-22,0
C0078,64.0,Male,East,Graduate,Salaried,427841.93,1171092.87,Car,689.0,10,203,42.84,2019-11-17,0
C0079,56.0,Female,West,Primary,Self-Employed,428081.33,1080287.97,Home,841.0,0,217,16.1,2018-03-16,1
C0080,46.0,Other,South,Post-Graduate,Unemployed,,420904.61,Car,613.0,5,114,25.05,2018-01-09,1
C0081,64.0,Male,South,Primary,Unemployed,2844762.06,1671117.44,Other,434.0,12,213,87.21,2022-06-18,1
C0082,53.0,Male,East,Post-Graduate,Salaried,2806718.58,1207356.46,Business,540.0,2,153,25.27,2023-05-13,1
C0083,23.0,Female,North,Graduate,Salaried,1760611.86,1960345.01,Car,680.0,2,121,88.32,2024-05-31,1
C0084,31.0,Female,South,Graduate,Salaried,1642118.53,1640534.92,Business,431.0,11,100,40.99,2022-01-23,1
C0085,58.0,Male,West,Graduate,Unemployed,2401771.36,969887.4,Car,386.0,0,165,28.72,2018-04-24,1
C0086,24.0,Male,West,Primary,Self-Employed,2812218.81,751199.54,Other,839.0,8,45,81.9,2019-07-07,0
C0087,62.0,Male,West,Graduate,Unemployed,2731767.38,1787346.74,Business,690.0,0,222,35.65,2024-01-01,1
C0088,30.0,Other,South,Post-Graduate,Salaried,1385678.07,1473275.47,Business,724.0,8,196,60.59,2019-02-17,0
C0089,52.0,Other,North,Graduate,Salaried,2810679.92,239664.58,Business,797.0,10,87,15.49,2022-10-31,0
C0090,41.0,,East,Post-Graduate,Salaried,2005800.07,1451557.25,Home,,12,103,45.07,2021-03-15,1
C0091,47.0,Female,North,Secondary,Salaried,1371454.84,354114.28,Business,844.0,9,165,73.25,2023-12-02,0
C0092,56.0,Other,North,Graduate,Salaried,2738072.41,1723568.04,Other,834.0,12,82,30.71,2018-07-20,0
C0093,61.0,Male,East,Graduate,Self-Employed,1741245.03,1317968.94,Car,464.0,3,297,25.5,2024-10-29,1
C0094,42.0,Other,West,Post-Graduate,Self-Employed,1192967.09,1701336.48,Other,724.0,6,84,55.85,2019-03-10,0
C0095,63.0,Male,West,Post-Graduate,Salaried,567666.31,1873077.01,Education,708.0,4,84,11.52,2022-06-11,1
C0096,37.0,Other,East,Secondary,Salaried,1846307.62,1343711.45,Business,385.0,12,202,91.47,2020-11-19,1
C0097,59.0,Female,East,Graduate,Unemployed,2858391.22,531734.61,Other,820.0,5,191,26.96,2021-06-03,1
C0098,56.0,Male,North,Secondary,Salaried,676072.2,1129300.86,Car,711.0,0,266,42.79,2019-11-01,1
C0099,46.0,Female,South,Primary,Unemployed,2271622.5,246695.74,Business,373.0,11,21,40.65,2023-09-13,1
C0100,,Female,North,Secondary,Unemployed,1439572.15,1773042.95,Business,732.0,9,192,94.87,2023-10-18,0
C0101,22.0,Female,South,Post-Graduate,Self-Employed,1343171.25,1706103.99,Education,782.0,9,128,87.42,2023-04-13,0
C0102,50.0,Other,East,Post-Graduate,Unemployed,1483967.16,1163079.0,Other,492.0,1,19,68.52,2024-10-06,1
C0103,56.0,Male,North,Primary,Self-Employed,548592.75,312155.95,Other,732.0,4,262,15.04,2020-01-06,1
C0104,28.0,Female,South,Post-Graduate,Unemployed,916422.15,1687049.97,Home,753.0,7,170,73.2,2022-10-21,0
C0105,50.0,Other,West,Primary,,2555721.4,257880.14,Car,485.0,6,218,75.25,2018-07-18,1
C0106,63.0,Female,East,Graduate,Self-Employed,566792.87,917339.06,Education,584.0,2,258,81.31,2023-01-23,1
C0107,25.0,Female,East,Post-Graduate,Self-Employed,1283851.71,925883.28,Home,534.0,12,260,89.96,2024-07-03,1
C0108,54.0,Female,North,Secondary,Salaried,1555631.86,967998.67,Car,729.0,0,173,73.67,2019-09-28,1
C0109,59.0,Other,North,Post-Graduate,Unemployed,2034194.54,1963920.38,Education,383.0,3,43,10.05,2020-03-26,1
C0110,60.0,Female,West,Post-Graduate,Unemployed,486022.19,183395.21,Other,346.0,11,148,58.32,2023-10-31,1
C0111,27.0,Male,South,Secondary,Salaried,1055206.62,1181018.15,Car,752.0,1,64,85.44,2019-09-14,1
C0112,45.0,Male,West,Primary,Unemployed,1234573.42,757298.3,Business,674.0,3,159,92.96,2020-11-23,1
C0113,37.0,Female,East,Graduate,Unemployed,1179480.07,1237579.71,Home,656.0,11,47,91.92,2024-09-02,0
C0114,45.0,Other,West,Primary,Unemployed,1751497.99,1448830.97,Home,709.0,12,264,66.74,2024-04-30,0
C0115,55.0,Female,East,Primary,Salaried,612748.52,109044.47,Business,817.0,11,104,48.03,2023-07-08,0
C0116,46.0,Male,West,Secondary,Salaried,1474693.81,237486.92,Education,770.0,8,192,64.89,2020-08-03,0
C0117,61.0,Other,North,Graduate,Unemployed,752981.57,1773526.23,Home,515.0,8,99,22.45,2023-04-25,1
C0118,23.0,Other,East,Graduate,Salaried,1862146.69,249258.54,Car,667.0,5,128,25.39,2024-08-09,1
C0119,44.0,Male,South,Secondary,Self-Employed,432862.12,611824.53,Education,548.0,12,108,48.42,2019-02-12,1
C0120,48.0,,East,Primary,Unemployed,,1635178.66,Car,511.0,3,111,61.74,2019-11-25,1
C0121,65.0,Male,East,Primary,Unemployed,2689962.97,1251146.49,Home,592.0,12,124,41.69,2018-07-03,0
C0122,34.0,Female,North,Post-Graduate,Self-Employed,1677267.37,889270.73,Home,661.0,7,125,90.52,2020-10-18,0
C0123,62.0,Other,West,Graduate,Salaried,2961304.01,1878331.29,Education,575.0,4,104,63.05,2022-10-19,1
C0124,50.0,Female,South,Secondary,Self-Employed,720150.23,1381995.66,Other,464.0,6,156,12.99,2024-03-05,1
C0125,,Male,East,Graduate,Self-Employed,1461377.99,1785058.59,Business,660.0,2,81,82.94,2024-08-22,1
C0126,29.0,Female,West,Graduate,Unemployed,534140.26,1279418.0,Car,704.0,2,221,38.88,2022-10-01,1
C0127,65.0,Female,East,Post-Graduate,Unemployed,317473.06,1221244.53,Education,577.0,9,87,22.23,2022-10-28,0
C0128,64.0,Female,North,Primary,Salaried,2505591.88,1701343.86,Other,619.0,9,217,91.56,2018-09-12,0
C0129,41.0,Male,North,Post-Graduate,Unemployed,336596.31,1963435.67,Education,472.0,2,160,22.55,2019-02-07,1
C0130,35.0,Other,East,Secondary,Unemployed,2030352.55,886412.17,Business,640.0,1,14,36.47,2023-06-26,1
C0131,60.0,Male,South,Secondary,Self-Employed,376287.75,94113.18,Business,484.0,11,298,36.65,2018-06-13,1
C0132,27.0,Other,North,Primary,Salaried,1822696.64,341922.43,Home,695.0,10,98,35.17,2020-12-07,0
C0133,56.0,Other,West,Secondary,Self-Employed,2468849.31,932520.77,Business,545.0,5,85,33.24,2020-07-31,1
C0134,51.0,Male,South,Primary,Unemployed,1986371.95,1753302.02,Business,432.0,1,131,54.96,2023-12-26,1
C0135,47.0,Female,West,Primary,Self-Employed,1917275.84,1728313.76,Business,,10,275,47.24,2022-05-21,1
C0136,40.0,Female,West,Secondary,Self-Employed,1966333.8,1344371.97,Home,556.0,6,100,20.43,2018-02-19,0
C0137,52.0,Other,West,Post-Graduate,Self-Employed,995836.7,1764011.93,Other,689.0,8,259,35.38,2021-01-12,0
C0138,39.0,Other,West,Graduate,Salaried,729372.23,1218504.93,Home,836.0,7,43,50.03,2018-12-22,0
C0139,54.0,Other,West,Post-Graduate,Salaried,574183.87,203792.46,Education,674.0,5,259,81.68,2021-01-04,1
C0140,24.0,Female,South,Post-Graduate,,1557621.47,200573.74,Car,675.0,2,73,83.76,2021-01-11,1
C0141,37.0,Female,West,Graduate,Salaried,1865618.62,1991544.1,Education,783.0,0,217,78.99,2024-02-01,1
C0142,57.0,Female,South,Graduate,Salaried,1416261.94,1036163.51,Other,745.0,6,175,81.53,2018-07-22,0
C0143,47.0,Female,North,Post-Graduate,Salaried,2276777.51,1290684.42,Business,466.0,6,61,37.14,2020-02-05,1
C0144,32.0,Female,North,Post-Graduate,Salaried,1529322.7,551462.5,Education,589.0,2,176,28.27,2021-07-12,1
C0145,33.0,Male,West,Primary,Unemployed,1187024.62,471944.72,Education,371.0,3,201,49.64,2019-05-24,1
C0146,52.0,Other,West,Secondary,Unemployed,226387.65,1180493.29,Other,455.0,4,264,24.59,2022-10-15,1
C0147,30.0,Other,North,Secondary,Salaried,1265098.04,413843.55,Business,802.0,12,134,48.57,2020-11-19,0
C0148,30.0,Female,South,Post-Graduate,Unemployed,2379166.69,1753298.42,Other,399.0,12,157,52.92,2018-09-10,1
C0149,56.0,Other,South,Secondary,Unemployed,2588535.87,285345.34,Business,642.0,11,41,50.04,2020-06-10,0
C0150,,,East,Post-Graduate,Unemployed,2351762.76,328777.93,Other,688.0,11,52,28.17,2022-09-16,0
C0151,27.0,Male,North,Graduate,Self-Employed,915856.95,1288398.66,Car,462.0,2,212,55.03,2022-08-12,1
C0152,40.0,Male,South,Primary,Self-Employed,1456390.83,1341418.65,Home,797.0,5,34,35.99,2021-06-13,1
C0153,43.0,Male,East,Primary,Unemployed,699011.67,1924376.8,Home,568.0,9,37,11.33,2021-10-16,0
C0154,27.0,Female,East,Secondary,Unemployed,1363326.69,1058222.27,Home,771.0,7,32,63.78,2022-10-26,0
C0155,22.0,Male,North,Graduate,Salaried,1039214.54,1920351.71,Car,309.0,8,191,37.95,2019-03-22,1
C0156,33.0,Female,West,Secondary,Salaried,2178933.0,1904931.22,Home,637.0,3,249,13.46,2020-12-10,1
C0157,35.0,Female,North,Post-Graduate,Salaried,1027615.7,747481.38,Home,326.0,2,20,77.77,2019-04-01,1
C0158,53.0,Male,North,Graduate,Unemployed,2193257.33,504953.74,Other,531.0,5,244,18.25,2024-07-23,1
C0159,59.0,Male,North,Primary,Unemployed,2493251.59,1942675.21,Business,649.0,7,247,17.98,2023-08-27,0
C0160,44.0,Female,West,Post-Graduate,Self-Employed,,1334760.44,Car,706.0,10,135,91.94,2019-05-05,0
C0161,38.0,Other,West,Secondary,Self-Employed,2126198.83,1655400.17,Education,619.0,8,229,84.99,2022-08-14,0
C0162,37.0,Other,West,Secondary,Self-Employed,961202.31,839479.55,Home,431.0,2,178,64.55,2021-07-06,1
C0163,38.0,Female,East,Secondary,Unemployed,825008.61,878292.5,Home,752.0,0,280,24.97,2021-02-11,1
C0164,57.0,Male,West,Graduate,Self-Employed,506363.94,712172.15,Other,693.0,5,291,46.83,2022-12-09,1
C0165,50.0,Other,North,Graduate,Self-Employed,703456.19,301039.13,Car,417.0,9,253,59.21,2024-06-28,1
C0166,63.0,Male,West,Post-Graduate,Unemployed,1636907.32,1531792.13,Car,457.0,9,110,75.13,2023-10-07,1
C0167,30.0,Male,South,Post-Graduate,Salaried,1466478.57,664029.74,Business,620.0,10,162,40.58,2020-11-29,0
C0168,21.0,Male,North,Post-Graduate,Salaried,389744.41,1189352.76,Home,451.0,9,152,86.3,2023-09-08,1
C0169,40.0,Female,South,Post-Graduate,Unemployed,670543.22,1959978.28,Business,578.0,4,200,13.16,2020-04-21,1
C0170,42.0,Male,North,Primary,Salaried,2193199.7,1031057.44,Car,399.0,12,190,41.93,2022-04-11,1
C0171,23.0,Female,West,Graduate,Salaried,1903904.81,1135860.05,Other,771.0,11,30,23.96,2022-10-06,0
C0172,57.0,Male,South,Primary,Salaried,583765.17,1831644.51,Other,664.0,6,35,35.95,2019-10-06,0
C0173,30.0,Male,South,Secondary,Self-Employed,1226580.41,1597763.54,Home,659.0,0,177,18.21,2019-04-27,1
C0174,58.0,Male,North,Secondary,Unemployed,912314.81,70066.2,Business,751.0,1,234,34.25,2018-11-20,1
C0175,,Other,West,Primary,,796353.26,233844.74,Other,725.0,2,296,31.59,2021-12-02,1
C0176,36.0,Male,South,Primary,Self-Employed,1074612.73,1905347.56,Other,398.0,7,246,36.7,2018-12-21,1
C0177,64.0,Male,South,Post-Graduate,Unemployed,2478167.6,988380.33,Education,363.0,6,194,36.35,2019-12-27,1
C0178,29.0,Male,East,Secondary,Self-Employed,1488870.12,1623682.8,Other,534.0,11,285,72.01,2020-01-16,1
C0179,49.0,Male,East,Secondary,Self-Employed,2908206.22,1852622.59,Home,407.0,10,199,28.14,2020-01-14,1
C0180,65.0,,East,Primary,Unemployed,2527110.44,674567.13,Business,,2,149,25.72,2020-09-19,1
C0181,47.0,Male,East,Primary,Salaried,1212770.99,1735235.72,Car,650.0,7,296,32.04,2024-01-15,0
C0182,51.0,Other,South,Secondary,Salaried,2053415.87,1509855.19,Home,686.0,3,154,74.4,2018-09-13,1
C0183,34.0,Female,North,Graduate,Self-Employed,2612352.65,1243244.05,Home,780.0,9,289,70.3,2018-03-09,0
C0184,53.0,Other,North,Graduate,Self-Employed,2760846.03,1864167.31,Other,588.0,7,64,59.63,2018-02-21,0
C0185,36.0,Other,East,Primary,Unemployed,1522565.63,1745210.12,Other,692.0,3,90,78.3,2020-08-11,1
C0186,35.0,Female,East,Secondary,Salaried,373758.72,1123682.01,Business,793.0,3,180,58.08,2020-06-09,1
C0187,40.0,Female,West,Graduate,Unemployed,1956344.41,294643.69,Car,805.0,10,79,39.53,2021-02-22,0
C0188,38.0,Male,North,Secondary,Self-Employed,2444960.92,1297589.11,Other,468.0,3,156,81.47,2020-03-29,1
C0189,43.0,Other,East,Secondary,Self-Employed,337978.94,867378.79,Home,501.0,8,227,72.48,2022-10-17,1
C0190,50.0,Male,South,Graduate,Self-Employed,1659563.5,1035080.44,Education,482.0,10,102,27.18,2023-08-31,1
C0191,44.0,Male,West,Primary,Self-Employed,1299942.8,311051.43,Other,818.0,3,276,44.2,2020-11-20,1
C0192,41.0,Male,South,Primary,Unemployed,2026338.03,1259600.9,Home,322.0,8,291,28.85,2018-04-30,1
C0193,48.0,Other,North,Secondary,Salaried,2001981.0,1260516.06,Education,715.0,3,7,56.72,2021-02-04,1
C0194,38.0,Male,South,Graduate,Self-Employed,434488.54,1210834.06,Business,629.0,4,269,66.58,2020-05-26,1
C0195,41.0,Other,East,Graduate,Self-Employed,1009129.84,545239.78,Home,824.0,9,233,26.32,2019-07-20,0
C0196,40.0,Male,West,Primary,Salaried,1996276.26,1097123.84,Home,503.0,10,196,40.11,2021-11-27,1
C0197,40.0,Female,North,Primary,Self-Employed,2818622.45,839399.17,Car,515.0,2,259,23.67,2019-07-22,1
C0198,55.0,Other,South,Post-Graduate,Self-Employed,2838232.68,362399.45,Car,707.0,11,295,33.9,2018-06-19,0
C0199,40.0,Male,South,Graduate,Unemployed,1573404.66,916156.53,Education,556.0,12,163,20.86,2022-01-12,0
C0200,,Male,East,Primary,Unemployed,,1473502.25,Car,577.0,4,97,67.24,2022-12-21,1
C0201,28.0,Female,South,Primary,Self-Employed,1903984.07,1596875.04,Education,558.0,8,96,19.22,2019-05-21,0
C0202,33.0,Other,South,Primary,Unemployed,631535.7,502501.26,Business,449.0,5,121,23.03,2022-09-14,1
C0203,27.0,Other,South,Post-Graduate,Salaried,993472.56,1732401.28,Car,573.0,6,151,10.4,2022-12-28,0
C0204,35.0,Female,South,Primary,Salaried,2890884.79,809874.99,Other,332.0,3,148,42.12,2024-05-05,1
C0205,42.0,Male,North,Primary,Salaried,902724.3,408196.87,Business,487.0,3,106,81.48,2024-10-13,1
C0206,26.0,Other,East,Post-Graduate,Unemployed,439388.88,961133.69,Home,447.0,5,173,55.59,2021-11-18,1
C0207,44.0,Male,East,Primary,Self-Employed,242578.53,1673789.52,Education,683.0,2,228,53.94,2018-10-21,1
C0208,45.0,Female,West,Primary,Unemployed,2488607.43,1381788.85,Other,545.0,10,184,76.9,2018-01-29,1
C0209,37.0,Male,North,Post-Graduate,Unemployed,2560352.08,1125312.52,Business,444.0,11,192,83.02,2019-10-08,1
C0210,23.0,,South,Primary,,1271779.96,701700.37,Business,377.0,11,129,50.56,2024-04-29,1
C0211,38.0,Male,West,Graduate,Salaried,323254.04,748222.21,Business,366.0,2,158,30.37,2020-09-14,1
C0212,65.0,Female,North,Secondary,Self-Employed,2667850.08,1563633.97,Home,455.0,11,208,46.13,2019-11-16,1
C0213,42.0,Female,East,Secondary,Unemployed,2778286.25,502577.51,Other,384.0,5,297,52.4,2022-07-03,1
C0214,44.0,Female,West,Primary,Salaried,1639357.08,1114730.63,Car,683.0,10,201,22.7,2019-05-12,0
C0215,39.0,Male,South,Graduate,Unemployed,1775891.29,289212.7,Business,403.0,4,246,13.87,2020-01-24,1
C0216,40.0,Other,North,Primary,Unemployed,1419138.21,1690714.42,Other,757.0,0,131,49.49,2023-11-20,1
C0217,50.0,Female,North,Graduate,Self-Employed,1716125.07,325926.19,Business,500.0,10,116,49.07,2019-03-25,1
C0218,61.0,Female,North,Graduate,Unemployed,1556148.47,1770777.62,Business,430.0,10,82,39.31,2020-09-14,1
C0219,23.0,Male,West,Post-Graduate,Salaried,1412812.83,167077.19,Education,690.0,10,294,88.0,2024-08-29,0
C0220,41.0,Other,South,Graduate,Self-Employed,1431198.28,1781703.75,Home,486.0,4,116,45.34,2019-11-06,1
C0221,65.0,Male,East,Primary,Self-Employed,1433347.7,456911.35,Home,514.0,5,52,54.9,2018-12-10,1
C0222,25.0,Other,East,Post-Graduate,Self-Employed,2144570.8,616585.11,Business,582.0,0,96,94.37,2022-02-05,1
C0223,39.0,Male,South,Post-Graduate,Salaried,376749.38,1572796.49,Business,371.0,8,27,58.31,2021-09-29,1
C0224,43.0,Female,South,Graduate,Unemployed,1889776.75,465555.58,Other,320.0,12,119,72.43,2023-02-04,1
C0225,,Other,South,Post-Graduate,Unemployed,2342264.26,156991.15,Business,,0,154,12.13,2022-01-01,1
C0226,62.0,Other,South,Graduate,Self-Employed,574909.19,897025.28,Car,776.0,12,135,60.37,2024-08-04,0
C0227,64.0,Female,North,Post-Graduate,Self-Employed,746707.71,422464.61,Education,670.0,12,42,11.34,2018-05-14,0
C0228,51.0,Female,South,Post-Graduate,Salaried,2919402.48,1646986.93,Education,699.0,6,259,80.38,2023-12-02,0
C0229,22.0,Other,East,Secondary,Unemployed,2209027.41,1737376.79,Business,686.0,7,188,15.41,2018-08-22,0
C0230,36.0,Female,East,Graduate,Self-Employed,2494747.68,1507614.96,Education,439.0,7,267,55.89,2019-12-13,1
C0231,22.0,Male,North,Graduate,Self-Employed,2552150.86,1252988.13,Other,400.0,1,186,85.58,2024-03-23,1
C0232,49.0,Other,West,Graduate,Salaried,1807345.84,821237.95,Car,300.0,7,94,85.03,2021-03-20,1
C0233,54.0,Other,South,Post-Graduate,Salaried,2361631.61,194477.71,Car,394.0,7,254,44.9,2020-02-11,1
