customer_id,age,education_level,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,join_year,join_month,join_day,join_weekday,education_level_encoded,region_East,region_North,region_South,region_West,loan_purpose_Business,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,gender_Female,gender_Male,gender_Other,employment_Salaried,employment_Self-Employed,employment_Unemployed,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
C0019,28.0,Post-Graduate,706018.79,913470.64,562.0,2.0,82.0,14.34,2021-06-19,1,2021,6,19,Saturday,3.0,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,1.2938333270138602,6.833333333333333,0.1434
C0020,36.0,Graduate,1618794.28,175667.06,398.0,0.0,29.0,85.74,2018-08-05,1,2018,8,5,Sunday,2.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,0.1085172230779071,2.4166666666666665,0.8573999999999999
C0021,42.0,Primary,1629560.02,1904931.22,574.0,9.0,98.0,17.65,2022-01-13,0,2022,1,13,Thursday,0.0,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,1.1689850000124573,8.166666666666666,0.1765
C0022,65.0,Graduate,2569144.21,1753932.48,500.0,8.0,21.0,87.57,2018-07-30,1,2018,7,30,Monday,2.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,0.6826913309004169,1.75,0.8756999999999999
C0023,60.0,Secondary,1070208.19,1836112.62,588.0,11.0,193.0,63.24,2021-08-17,0,2021,8,17,Tuesday,1.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,1.7156592868159608,16.083333333333332,0.6324000000000001
C0024,48.0,Secondary,955548.15,1231779.45,665.0,0.0,96.0,28.59,2020-07-25,1,2020,7,25,Saturday,1.0,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,1.289081507823546,8.0,0.2859
C0025,44.4,Graduate,2048228.83,940569.27,640.0,6.0,196.0,61.43,2019-10-22,0,2019,10,22,Tuesday,2.0,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,0.4592110296582438,16.333333333333332,0.6143
C0026,32.0,Primary,814838.15,1701149.09,673.0,2.0,99.0,50.92,2019-02-20,1,2019,2,20,Wednesday,0.0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,2.087714093897052,8.25,0.5092
C0027,56.0,Post-Graduate,754670.65,1267074.53,343.0,0.0,187.0,81.37,2019-08-11,1,2019,8,11,Sunday,3.0,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,1.6789768225384145,15.583333333333334,0.8137000000000001
C0028,37.0,Post-Graduate,2315171.94,1344035.84,711.0,6.0,226.0,90.52,2023-01-03,0,2023,1,3,Tuesday,3.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,0.5805339192215677,18.833333333333332,0.9052
C0029,27.0,Primary,2413309.67,1198699.26,653.0,10.0,255.0,40.82,2024-07-21,0,2024,7,21,Sunday,0.0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.4967034586986924,21.25,0.4082
C0030,41.0,Graduate,958734.18,524528.69,548.0,6.0,117.0,14.34,2020-11-12,1,2020,11,12,Thursday,2.0,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,0.5471054448064008,9.75,0.1434
C0031,23.0,Graduate,394092.95,1469384.99,502.0,10.0,21.0,84.07,2024-07-20,1,2024,7,20,Saturday,2.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,3.728523918024923,1.75,0.8406999999999999
C0032,53.0,Graduate,1972921.1,626292.48,342.0,6.0,30.0,26.53,2020-12-31,1,2020,12,31,Thursday,2.0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0.3174442606954733,2.5,0.26530000000000004
C0033,22.0,Post-Graduate,1669389.14,1697600.1,702.0,0.0,207.0,83.9,2020-11-18,1,2020,11,18,Wednesday,3.0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,1.0168989717999484,17.25,0.8390000000000001
C0034,42.0,Graduate,2184856.97,545485.17,820.0,11.0,156.0,50.17,2018-09-23,0,2018,9,23,Sunday,2.0,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,0.2496663065317269,13.0,0.5017
C0035,52.0,Primary,2015447.7,813209.41,684.0,11.0,139.0,51.02,2024-10-14,0,2024,10,14,Monday,0.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,0.4034882224926998,11.583333333333334,0.5102
C0036,31.0,Secondary,2379199.5,175667.06,504.0,0.0,164.0,14.34,2024-03-04,1,2024,3,4,Monday,1.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,0.0738345229141146,13.666666666666666,0.1434
C0037,40.0,Post-Graduate,2812218.81,1363833.82,465.0,0.0,272.0,71.23,2022-05-31,1,2022,5,31,Tuesday,3.0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.48496717792738187,22.666666666666668,0.7123
C0038,52.0,Graduate,2185824.88,1904931.22,552.0,11.0,39.0,40.38,2019-08-26,0,2019,8,26,Monday,2.0,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,0.8714930630673396,3.25,0.40380000000000005
C0039,34.0,Secondary,1257251.43,1283393.11,806.0,0.0,214.0,86.21,2024-05-11,1,2024,5,11,Saturday,1.0,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,1.020792722423072,17.833333333333332,0.8621
C0040,28.0,Secondary,1706494.0579999997,673034.6,442.0,6.0,240.0,71.26,2024-05-08,1,2024,5,8,Wednesday,1.0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0.3943960993270567,20.0,0.7126
C0041,39.0,Primary,2356331.03,798207.88,402.0,5.0,5.0,76.21,2018-12-07,1,2018,12,7,Friday,0.0,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,0.33875031557004964,0.4166666666666667,0.7620999999999999
C0042,57.0,Secondary,2473414.69,1341021.05,601.0,8.0,217.0,69.05,2022-09-08,0,2022,9,8,Thursday,1.0,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.5421739651752453,18.083333333333332,0.6905
C0043,58.0,Primary,2700159.52,175667.06,820.0,11.0,260.0,69.22,2021-02-14,0,2021,2,14,Sunday,0.0,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,0.06505803034925878,21.666666666666668,0.6922
C0044,21.0,Graduate,2442180.54,1904931.22,820.0,1.0,244.0,71.45,2023-04-28,1,2023,4,28,Friday,2.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,0.780012447400797,20.333333333333332,0.7145
C0045,52.0,Graduate,2372197.03,211081.82,467.0,7.0,283.0,15.19,2022-02-01,0,2022,2,1,Tuesday,2.0,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,0.08898157165300895,23.583333333333332,0.1519
C0046,51.0,Secondary,583392.64,235439.67,530.0,5.0,275.0,90.52,2024-05-04,1,2024,5,4,Saturday,1.0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.40356983248880207,22.916666666666668,0.9052
C0047,61.0,Graduate,839862.79,793355.9,820.0,5.0,159.0,85.79,2021-06-22,1,2021,6,22,Tuesday,2.0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,0.9446256096189236,13.25,0.8579000000000001
C0048,22.0,Post-Graduate,2416328.42,923564.98,675.0,9.0,197.0,59.66,2018-10-13,0,2018,10,13,Saturday,3.0,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,0.38221831616746865,16.416666666666668,0.5966
C0049,21.0,Post-Graduate,1083190.14,175667.06,342.0,0.0,245.0,61.21,2020-06-07,1,2020,6,7,Sunday,3.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,0.1621756453580717,20.416666666666668,0.6121
C0050,42.0,Post-Graduate,1803032.23,565219.03,440.0,9.0,50.0,20.26,2018-12-21,1,2018,12,21,Friday,3.0,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,0.313482488330228,4.166666666666667,0.2026
C0051,49.0,Graduate,2186511.16,291710.53,507.0,0.0,194.0,46.15,2022-08-19,1,2022,8,19,Friday,2.0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.13341369362139455,16.166666666666668,0.46149999999999997
C0052,28.0,Secondary,1625934.53,355656.5,474.0,5.0,88.0,90.52,2023-12-01,1,2023,12,1,Friday,1.0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,0.2187397422453412,7.333333333333333,0.9052
C0053,22.0,Graduate,1710829.74,1022666.44,402.0,3.0,65.0,72.18,2022-03-19,1,2022,3,19,Saturday,2.0,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.5977604995339864,5.416666666666667,0.7218000000000001
C0054,60.0,Primary,1218493.05,529284.94,715.0,2.0,76.0,28.83,2019-08-16,1,2019,8,16,Friday,0.0,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,0.434376658939499,6.333333333333333,0.2883
C0055,60.0,Primary,1625342.46,1658098.96,391.0,2.0,288.0,21.53,2020-07-25,1,2020,7,25,Saturday,0.0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,1.0201535988913992,24.0,0.21530000000000002
C0056,32.0,Secondary,2186297.93,1904931.22,342.0,10.0,34.0,89.04,2018-05-05,1,2018,5,5,Saturday,1.0,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,0.8713044978275215,2.8333333333333335,0.8904000000000001
C0057,40.0,Post-Graduate,2688341.12,299581.78,415.0,7.0,216.0,14.34,2018-09-05,1,2018,9,5,Wednesday,3.0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0.1114374131211444,18.0,0.1434
C0058,64.0,Graduate,394092.95,261770.02,710.0,5.0,285.0,37.1,2018-07-06,1,2018,7,6,Friday,2.0,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,0.6642342117513139,23.75,0.371
C0059,50.0,Secondary,2812218.81,924390.71,591.0,1.0,94.0,90.23,2024-05-28,1,2024,5,28,Tuesday,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.328705115943663,7.833333333333333,0.9023
C0060,60.0,Graduate,1791018.32,798632.02,720.0,5.0,128.0,81.4,2022-02-15,1,2022,2,15,Tuesday,2.0,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,0.4459094645106701,10.666666666666666,0.8140000000000001
C0061,49.0,Secondary,2116450.49,532038.99,662.0,9.0,246.0,30.19,2024-05-05,0,2024,5,5,Sunday,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0.2513826770405576,20.5,0.3019
C0062,26.0,Post-Graduate,2319276.35,1273382.5,762.0,3.0,135.0,33.73,2022-06-10,1,2022,6,10,Friday,3.0,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,0.5490430237000433,11.25,0.3373
C0063,33.0,Post-Graduate,402333.78,1684471.42,371.0,8.0,190.0,51.76,2023-07-23,1,2023,7,23,Sunday,3.0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,4.18675115969631,15.833333333333334,0.5176
C0064,46.0,Graduate,873610.17,197149.69,342.0,12.0,290.0,17.98,2021-09-27,1,2021,9,27,Monday,2.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,0.22567238428554465,24.166666666666668,0.17980000000000002
C0065,52.0,Graduate,2812218.81,389049.49,506.0,12.0,297.0,65.02,2018-11-21,1,2018,11,21,Wednesday,2.0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,0.13834253885813386,24.75,0.6502
C0066,29.0,Post-Graduate,1429603.46,551135.02,401.0,12.0,10.0,46.68,2021-10-19,1,2021,10,19,Tuesday,3.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,0.385516008753924,0.8333333333333334,0.4668
C0067,49.0,Post-Graduate,2465061.16,1641801.36,467.0,2.0,149.0,65.22,2024-09-30,1,2024,9,30,Monday,3.0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,0.6660286513945967,12.416666666666666,0.6522
C0068,24.0,Secondary,1457311.12,1090591.28,533.0,10.0,251.0,41.72,2021-05-13,1,2021,5,13,Thursday,1.0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.7483585797382785,20.916666666666668,0.4172
C0069,46.0,Graduate,2577521.2,1532227.22,347.0,7.0,68.0,15.26,2024-04-30,1,2024,4,30,Tuesday,2.0,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0.5944576595529069,5.666666666666667,0.15259999999999999
C0070,52.0,Post-Graduate,709716.34,1904931.22,784.0,12.0,73.0,14.34,2022-06-09,0,2022,6,9,Thursday,3.0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,2.6840740626036594,6.083333333333333,0.1434
C0071,33.0,Primary,1578446.14,1244541.37,820.0,0.0,102.0,32.82,2021-08-12,1,2021,8,12,Thursday,0.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,0.7884598267002003,8.5,0.3282
C0072,43.0,Post-Graduate,2542335.5,466105.66,342.0,8.0,271.0,78.48,2019-01-25,1,2019,1,25,Friday,3.0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,0.18333758860701113,22.583333333333332,0.7848
C0073,32.0,Post-Graduate,1560333.11,534779.62,472.0,7.0,253.0,87.68,2018-04-23,1,2018,4,23,Monday,3.0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.34273426396751905,21.083333333333332,0.8768
C0074,21.0,Post-Graduate,2812218.81,175667.06,521.0,5.0,245.0,75.03,2022-11-21,1,2022,11,21,Monday,3.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,0.06246564434294499,20.416666666666668,0.7503
C0075,42.2,Secondary,2810618.64,642734.5,538.0,0.0,12.0,72.4,2021-06-06,1,2021,6,6,Sunday,1.0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.22868079320786117,1.0,0.7240000000000001
C0076,27.0,Graduate,394092.95,344510.63,730.0,11.0,250.0,89.11,2019-07-22,0,2019,7,22,Monday,2.0,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,0.8741862294161822,20.833333333333332,0.8911
C0077,23.0,Secondary,2349517.57,1722934.54,820.0,9.0,198.0,85.41,2022-07-22,0,2022,7,22,Friday,1.0,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,0.7333141756415978,16.5,0.8541
C0078,64.0,Graduate,427841.93,1171092.87,689.0,10.0,203.0,42.84,2019-11-17,0,2019,11,17,Sunday,2.0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,2.7372092071480703,16.916666666666668,0.42840000000000006
C0079,56.0,Primary,428081.33,1080287.97,820.0,0.0,217.0,16.1,2018-03-16,1,2018,3,16,Friday,0.0,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,2.5235577781446343,18.083333333333332,0.161
C0080,46.0,Post-Graduate,1464327.07,420904.61,613.0,5.0,114.0,25.05,2018-01-09,1,2018,1,9,Tuesday,3.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,0.28743893261496556,9.5,0.2505
C0081,64.0,Primary,2812218.81,1671117.44,434.0,12.0,213.0,87.21,2022-06-18,1,2022,6,18,Saturday,0.0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,0.5942345005508302,17.75,0.8721
C0082,53.0,Post-Graduate,2806718.58,1207356.46,540.0,2.0,153.0,25.27,2023-05-13,1,2023,5,13,Saturday,3.0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0.4301665541402444,12.75,0.2527
C0083,23.0,Graduate,1760611.86,1904931.22,680.0,2.0,121.0,88.32,2024-05-31,1,2024,5,31,Friday,2.0,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,1.0819711392833624,10.083333333333334,0.8832
C0084,31.0,Graduate,1642118.53,1640534.92,431.0,11.0,100.0,40.99,2022-01-23,1,2022,1,23,Sunday,2.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,0.9990356299066913,8.333333333333334,0.40990000000000004
C0085,58.0,Graduate,2401771.36,969887.4,386.0,0.0,165.0,28.72,2018-04-24,1,2018,4,24,Tuesday,2.0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,0.40382170266198864,13.75,0.2872
C0086,24.0,Primary,2812218.81,751199.54,820.0,8.0,45.0,81.9,2019-07-07,0,2019,7,7,Sunday,0.0,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,0.26711987606682713,3.75,0.8190000000000001
C0087,62.0,Graduate,2731767.38,1787346.74,690.0,0.0,222.0,35.65,2024-01-01,1,2024,1,1,Monday,2.0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,0.6542821885515011,18.5,0.3565
C0088,30.0,Post-Graduate,1385678.07,1473275.47,724.0,8.0,196.0,60.59,2019-02-17,0,2019,2,17,Sunday,3.0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,1.0632162707171948,16.333333333333332,0.6059
C0089,52.0,Graduate,2810679.92,239664.58,797.0,10.0,87.0,15.49,2022-10-31,0,2022,10,31,Monday,2.0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,0.08526925399602242,7.25,0.1549
C0090,41.0,Post-Graduate,2005800.07,1451557.25,569.2,12.0,103.0,45.07,2021-03-15,1,2021,3,15,Monday,3.0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,0.7236799278803495,8.583333333333334,0.4507
C0091,47.0,Secondary,1371454.84,354114.28,820.0,9.0,165.0,73.25,2023-12-02,0,2023,12,2,Saturday,1.0,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,0.2582033834960253,13.75,0.7325
C0092,56.0,Graduate,2738072.41,1723568.04,820.0,12.0,82.0,30.71,2018-07-20,0,2018,7,20,Friday,2.0,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,0.6294822714348888,6.833333333333333,0.3071
C0093,61.0,Graduate,1741245.03,1317968.94,464.0,3.0,297.0,25.5,2024-10-29,1,2024,10,29,Tuesday,2.0,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.7569118172874267,24.75,0.255
C0094,42.0,Post-Graduate,1192967.09,1701336.48,724.0,6.0,84.0,55.85,2019-03-10,0,2019,3,10,Sunday,3.0,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,1.4261386540009247,7.0,0.5585
C0095,63.0,Post-Graduate,567666.31,1873077.01,708.0,4.0,84.0,14.34,2022-06-11,1,2022,6,11,Saturday,3.0,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,3.2996092545988853,7.0,0.1434
C0096,37.0,Secondary,1846307.62,1343711.45,385.0,12.0,202.0,90.52,2020-11-19,1,2020,11,19,Thursday,1.0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0.7277830819980041,16.833333333333332,0.9052
C0097,59.0,Graduate,2812218.81,531734.61,820.0,5.0,191.0,26.96,2021-06-03,1,2021,6,3,Thursday,2.0,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,0.18908009864282216,15.916666666666666,0.2696
C0098,56.0,Secondary,676072.2,1129300.86,711.0,0.0,266.0,42.79,2019-11-01,1,2019,11,1,Friday,1.0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,1.6703849973420002,22.166666666666668,0.4279
C0099,46.0,Primary,2271622.5,246695.74,373.0,11.0,21.0,40.65,2023-09-13,1,2023,9,13,Wednesday,0.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,0.10859891553284051,1.75,0.4065
C0100,40.0,Secondary,1439572.15,1773042.95,732.0,9.0,192.0,90.52,2023-10-18,0,2023,10,18,Wednesday,1.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,1.2316457705853785,16.0,0.9052
C0101,22.0,Post-Graduate,1343171.25,1706103.99,782.0,9.0,128.0,87.42,2023-04-13,0,2023,4,13,Thursday,3.0,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,1.2702058579648723,10.666666666666666,0.8742
C0102,50.0,Post-Graduate,1483967.16,1163079.0,492.0,1.0,19.0,68.52,2024-10-06,1,2024,10,6,Sunday,3.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,0.783763301069277,1.5833333333333333,0.6851999999999999
C0103,56.0,Primary,548592.75,312155.95,732.0,4.0,262.0,15.04,2020-01-06,1,2020,1,6,Monday,0.0,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,0.5690121679515452,21.833333333333332,0.15039999999999998
C0104,28.0,Post-Graduate,916422.15,1687049.97,753.0,7.0,170.0,73.2,2022-10-21,0,2022,10,21,Friday,3.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,1.8409092032531076,14.166666666666666,0.732
C0105,50.0,Primary,2555721.4,257880.14,485.0,6.0,218.0,75.25,2018-07-18,1,2018,7,18,Wednesday,0.0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,0.1009030718293473,18.166666666666668,0.7525
C0106,63.0,Graduate,566792.87,917339.06,584.0,2.0,258.0,81.31,2023-01-23,1,2023,1,23,Monday,2.0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1.618473182275564,21.5,0.8131
C0107,25.0,Post-Graduate,1283851.71,925883.28,534.0,12.0,260.0,89.96,2024-07-03,1,2024,7,3,Wednesday,3.0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.7211761863058157,21.666666666666668,0.8996
C0108,54.0,Secondary,1555631.86,967998.67,729.0,0.0,173.0,73.67,2019-09-28,1,2019,9,28,Saturday,1.0,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,0.6222543359326672,14.416666666666666,0.7367
C0109,59.0,Post-Graduate,2034194.54,1904931.22,383.0,3.0,43.0,14.34,2020-03-26,1,2020,3,26,Thursday,3.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,0.9364547896190892,3.5833333333333335,0.1434
C0110,60.0,Post-Graduate,486022.19,183395.21,346.0,11.0,148.0,58.32,2023-10-31,1,2023,10,31,Tuesday,3.0,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,0.3773391704605092,12.333333333333334,0.5832
C0111,27.0,Secondary,1055206.62,1181018.15,752.0,1.0,64.0,85.44,2019-09-14,1,2019,9,14,Saturday,1.0,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,1.1192292842135503,5.333333333333333,0.8543999999999999
C0112,45.0,Primary,1234573.42,757298.3,674.0,3.0,159.0,90.52,2020-11-23,1,2020,11,23,Monday,0.0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,0.6134088809396205,13.25,0.9052
C0113,37.0,Graduate,1179480.07,1237579.71,656.0,11.0,47.0,90.52,2024-09-02,0,2024,9,2,Monday,2.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,1.0492586873468748,3.9166666666666665,0.9052
C0114,45.0,Primary,1751497.99,1448830.97,709.0,12.0,264.0,66.74,2024-04-30,0,2024,4,30,Tuesday,0.0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,0.8271953369469753,22.0,0.6674
C0115,55.0,Primary,612748.52,175667.06,817.0,11.0,104.0,48.03,2023-07-08,0,2023,7,8,Saturday,0.0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,0.28668704087608404,8.666666666666666,0.4803
